eventDate,decimalLatitude,decimalLongitude,kingdom,scientificName,scientificNameID,eventID,occurrenceID,countryCode,geodeticDatum,occurrenceStatus,basisOfRecord
2021-01-13,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-01-13,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-01-13,US,WGS84,present,HumanObservation
2021-02-04,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-02-04,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-02-04,US,WGS84,present,HumanObservation
2021-02-17,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-02-17,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-02-17,US,WGS84,present,HumanObservation
2021-03-04,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-03-04,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-03-04,US,WGS84,present,HumanObservation
2021-03-19,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-03-19,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-03-19,US,WGS84,present,HumanObservation
2021-04-08,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-04-08,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-04-08,US,WGS84,present,HumanObservation
2021-04-14,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-04-14,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-04-14,US,WGS84,present,HumanObservation
2021-04-21,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-04-21,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-04-21,US,WGS84,present,HumanObservation
2021-04-27,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-04-27,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-04-27,US,WGS84,present,HumanObservation
2021-05-05,17.972265,-67.065926,Chromista,Sargassum,urn:lsid:marinespecies.org:taxname:144132,Varadero_2021-05-05,CARICOOS_Sargassum_monitoring_program_Sargassum_Varadero_2021-05-05,US,WGS84,present,HumanObservation
