Sample Year,subRegionId,habitatid,Site Code,siteid,sitename,Station ID,AvgOfpoints,Acropora cervicornis,Acropora palmata,Acropora prolifera,Agaricia fragilis,Agaricia lamarcki,Colpophyllia natans,Dichocoenia stokesii,Diploria labyrinthiformis,Eusmilia fastigiata,Favia fragum,Helioseris cucullata,Isophyllia rigida,Madracis aurentenra,Madracis decactis complex,Manicina areolata,Meandrina meandrites,Millepora alcicornis,Millepora complanata,Montastraea cavernosa,Mussa angulosa,Mycetophyllia aliciae,Mycetophyllia ferox,Mycetophyllia lamarckiana complex,Oculina diffusa,Oculina robusta,Orbicella annularis complex,Porites astreoides,Porites porites complex,Pseudodiploria clivosa,Pseudodiploria strigosa,Scleractinia,Scolymia sp_,Siderastrea radians,Siderastrea siderea,Solenastrea bournoni,Stephanocoenia intersepta,Undaria agaricites complex,Cyano slime,Cyano w/ structure,Lyngbia sp_,Macroalgae,Other Macroalgae,Dictyota sp_,Halimeda sp_,Lobophora sp_,Octocorallia,Branching Octocoral,Encrusting Octocoral,Gorgonia ventalina,Porifera,Other Sponge,Xestospongia muta,Seagrass,Substrate,Bare Substrate,Crustose Coralline Algae,Unconsolidated Substrate,Zoanthidea,Palythoa caribaeorum,Diadema antillarum,Other biota 1,Anemone,Corallimorphs,Hydroids,Polychaetes,Tunicates,Zoanthids,Unidentified Biota,Unknown
1999,DT         ,P          ,1P1,41,White Shoal              ,411,1750,0.028571429,0,0,0,0,0.009714286,0,0,0.001142857,0,0,0,0,0,0,0.000571429,0.035428571,0,0.004,0,0,0,0,0.002285714,0,0.004571429,0.001714286,0.004571429,0,0,0.008571429,0,0,0.012,0,0,0,,,,0.005142857,,,,,0.026857143,,,,0.043428571,,,0,0.811428571,,,,0,,0,0,,,,,,,,
1999,DT         ,P          ,1P1,41,White Shoal              ,412,1769,0.09044658,0,0,0,0,0.002261164,0.001130582,0,0.001130582,0,0,0,0,0,0,0.000565291,0.01526286,0,0.001130582,0,0,0,0,0,0,0,0,0.002826456,0,0,0.002826456,0,0,0.000565291,0,0,0,,,,0,,,,,0.070661391,,,,0.039005088,,,0,0.772187677,,,,0,,0,0,,,,,,,,
1999,DT         ,P          ,1P1,41,White Shoal              ,413,1768,0.084841629,0,0,0,0,0.001131222,0.000565611,0,0.000565611,0,0,0,0,0,0,0,0.006221719,0,0,0,0,0,0,0,0,0.000565611,0.002828054,0.002262443,0,0.000565611,0,0,0,0.001131222,0,0,0,,,,0.191176471,,,,,0.059954751,,,,0.022058824,,,0,0.626131222,,,,0,,0,0,,,,,,,,
1999,DT         ,P          ,1P1,41,White Shoal              ,414,1769,0.035613341,0,0,0,0,0,0,0,0.000565291,0,0,0,0,0,0,0.000565291,0.007914076,0,0,0,0,0,0.001695873,0,0,0.001695873,0,0,0,0.000565291,0,0,0.000565291,0.000565291,0,0,0,,,,0.045788581,,,,,0.177501413,,,,0.013001696,,,0,0.713962691,,,,0,,0,0,,,,,,,,
1999,DT         ,OD         ,1D1,82,Bird Key Reef            ,821,1757,0,0,0,0,0,0.018782015,0,0.009106431,0,0,0,0,0,0,0,0,0.009106431,0,0.022196927,0,0.001707456,0,0.000569152,0,0,0.112122937,0.012521343,0.001138304,0,0.001138304,0.014797951,0,0,0.017074559,0.001707456,0,0,,,,0.122367672,,,,,0.166761525,,,,0.054638589,,,0,0.433693796,,,,0.000569152,,0,0,,,,,,,,
1999,DT         ,OD         ,1D1,82,Bird Key Reef            ,822,1809,0,0,0,0,0,0.02763958,0,0.001658375,0,0,0,0,0,0,0,0.001658375,0.004975124,0,0.003869541,0,0,0,0,0,0,0.123272526,0.009397457,0.001658375,0,0.001105583,0,0,0,0.01050304,0,0,0.001105583,,,,0.15920398,,,,,0.161415146,,,,0.00331675,,,0,0.489220564,,,,0,,0,0,,,,,,,,
1999,DT         ,OD         ,1D1,82,Bird Key Reef            ,823,1760,0,0,0,0,0,0.025568182,0,0.003977273,0,0,0,0,0,0,0,0,0.011363636,0,0.011931818,0,0,0,0.000568182,0,0,0.113068182,0.005681818,0.002840909,0,0.002840909,0.006818182,0,0,0.018181818,0,0,0.000568182,,,,0.003977273,,,,,0.221022727,,,,0.006818182,,,0,0.564772727,,,,0,,0,0,,,,,,,,
1999,DT         ,OD         ,1D1,82,Bird Key Reef            ,824,1568,0,0,0,0,0,0.048469388,0,0,0,0,0,0,0,0,0,0,0.005102041,0,0.037627551,0,0.001913265,0.001913265,0.00255102,0,0,0.070153061,0.010204082,0.000637755,0,0,0.000637755,0,0,0.029336735,0.00127551,0.001913265,0,,,,0.15625,,,,,0.234056122,,,,0.013392857,,,0,0.384566327,,,,0,,0,0,,,,,,,,
1999,DT         ,OD         ,1D2,83,Black Coral Rock         ,831,1649,0,0,0,0,0.001212856,0.023650697,0,0,0,0,0,0,0,0,0,0,0.010915706,0,0.084293511,0,0.000606428,0,0,0,0,0.092783505,0.007883566,0.001819284,0,0,0,0,0,0.004244997,0,0,0.005457853,,,,0.154032747,,,,,0.101273499,,,,0.031534263,,,0,0.479078229,,,,0.000606428,,0,0.000606428,,,,,,,,
1999,DT         ,OD         ,1D2,83,Black Coral Rock         ,832,1424,0,0,0,0,0.000702247,0.020365169,0.000702247,0,0.001404494,0,0.000702247,0,0,0,0,0.000702247,0.004213483,0,0.08005618,0,0.002808989,0.005617978,0,0,0,0.146769663,0.007022472,0.00491573,0,0,0.000702247,0,0,0.006320225,0,0.001404494,0.000702247,,,,0.082865169,,,,,0.096910112,,,,0.049859551,,,0,0.484550562,,,,0.000702247,,0,0,,,,,,,,
